% R/bohr 1Sig  1Pi  1Del  3Sig  3Pi  Axy   Azy  Bss  Byx  Bxs  Bsy  Bxd
  28.10 -7.94095538E-03 -5.42625840E-03 -8.62743655E-03 -9.16482092E-03 -8.63346883E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  28.35 -7.44948620E-03 -5.14346977E-03 -8.09605796E-03 -8.63315560E-03 -8.13211014E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  28.60 -7.00748210E-03 -4.88199999E-03 -7.61677608E-03 -8.14764589E-03 -7.67436155E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  28.85 -6.61033188E-03 -4.63841931E-03 -7.18544055E-03 -7.70251842E-03 -7.25476111E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  29.10 -6.25217895E-03 -4.41021228E-03 -6.79617008E-03 -7.29258281E-03 -6.86839808E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  29.35 -5.92709273E-03 -4.19552379E-03 -6.44276876E-03 -6.91334100E-03 -6.51101661E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  29.60 -5.62967877E-03 -3.99296662E-03 -6.11948463E-03 -6.56098655E-03 -6.17901541E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  29.85 -5.35533651E-03 -3.80147985E-03 -5.82135156E-03 -6.23234570E-03 -5.86939201E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  30.10 -5.10031025E-03 -3.62022720E-03 -5.54428269E-03 -5.92479294E-03 -5.57966299E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  30.35 -4.86162927E-03 -3.44852556E-03 -5.28502806E-03 -5.63616097E-03 -5.30777871E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
